Year,Series,Profesion,Sexo,Territorio,Units,Value
2016,SH_MED_DEN,ISCO08_2261,,,PER_10000_POP,8.4
2011,SH_MED_DEN,ISCO08_2261,,,PER_10000_POP,7.4
2020,SH_MED_DEN,ISCO08_2261,,,PER_10000_POP,8.7
2021,SH_MED_DEN,ISCO08_2261,,,PER_10000_POP,9.0
2015,SH_MED_DEN,ISCO08_2261,,,PER_10000_POP,8.2
2019,SH_MED_DEN,ISCO08_2261,,,PER_10000_POP,8.7
2013,SH_MED_DEN,ISCO08_2261,,,PER_10000_POP,7.8
2023,SH_MED_DEN,ISCO08_2261,,,PER_10000_POP,9.1
2018,SH_MED_DEN,ISCO08_2261,,,PER_10000_POP,8.6
2022,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.4
2013,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.0
2023,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.4
2017,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.3
2011,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,5.8
2021,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.6
2015,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.5
2014,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.3
2020,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.7
2010,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,5.6
2016,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.5
2012,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,5.7
2018,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.4
2019,SH_MED_DEN,ISCO08_2261,,ES211,PER_10000_POP,6.7
2023,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,9.3
2010,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,7.7
2016,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,8.7
2017,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,8.9
2022,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,9.3
2014,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,8.3
2020,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,9.1
2018,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,9.1
2012,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,7.9
2013,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,8.1
2019,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,9.1
2011,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,7.9
2015,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,8.5
2021,SH_MED_DEN,ISCO08_2261,,ES213,PER_10000_POP,9.2
2020,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,9.1
2015,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,8.5
2012,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,8.0
2018,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,8.8
2014,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,8.0
2011,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,7.3
2016,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,8.7
2022,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,9.8
2019,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,8.9
2017,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,8.7
2021,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,9.7
2010,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,7.3
2013,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,8.1
2023,SH_MED_DEN,ISCO08_2261,,ES212,PER_10000_POP,10.0
2020,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,11.1
2022,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,11.4
2013,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,9.3
2014,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,9.5
2016,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,10.2
2011,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,6.9
2015,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,9.9
2021,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,11.3
2012,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,9.0
2018,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,10.7
2019,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,10.7
2017,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,10.4
2010,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,6.8
2023,SH_MED_DEN,ISCO08_2261,F,,PER_10000_POP,11.6
2016,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,8.3
2023,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,8.2
2011,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,5.6
2015,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,8.2
2019,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,8.5
2017,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,7.9
2010,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,5.4
2014,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,8.0
2012,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,7.2
2021,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,8.2
2013,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,7.7
2018,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,8.0
2022,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,8.1
2020,SH_MED_DEN,ISCO08_2261,F,ES211,PER_10000_POP,8.5
2010,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,7.2
2020,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,11.4
2023,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,11.9
2018,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,11.2
2022,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,11.9
2021,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,11.7
2013,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,9.4
2011,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,7.3
2014,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,9.7
2015,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,10.1
2016,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,10.4
2012,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,9.2
2019,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,11.3
2017,SH_MED_DEN,ISCO08_2261,F,ES213,PER_10000_POP,10.8
2023,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,12.6
2017,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,10.8
2013,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,9.6
2014,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,9.8
2010,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,6.7
2022,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,12.2
2019,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,10.6
2011,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,6.7
2015,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,10.3
2016,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,10.7
2021,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,12.1
2018,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,11.1
2020,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,11.8
2012,SH_MED_DEN,ISCO08_2261,F,ES212,PER_10000_POP,9.5
2011,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,7.9
2018,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.4
2010,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,7.8
2023,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.4
2015,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.4
2014,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.2
2019,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.6
2016,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.4
2021,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.5
2012,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.1
2022,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.5
2020,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.2
2013,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.2
2017,SH_MED_DEN,ISCO08_2261,M,,PER_10000_POP,6.4
2014,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.5
2021,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,5.0
2018,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.7
2022,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.7
2016,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.7
2012,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.2
2015,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.7
2013,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.3
2017,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.6
2019,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,5.0
2011,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,6.0
2020,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.9
2010,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,5.9
2023,SH_MED_DEN,ISCO08_2261,M,ES211,PER_10000_POP,4.6
2011,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,8.4
2013,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.6
2021,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.5
2018,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.8
2022,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.5
2020,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.5
2015,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.8
2023,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.4
2014,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.7
2010,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,8.3
2012,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.4
2016,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.8
2019,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.8
2017,SH_MED_DEN,ISCO08_2261,M,ES213,PER_10000_POP,6.9
2020,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,6.4
2014,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,6.1
2021,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,7.2
2017,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,6.5
2019,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,7.0
2015,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,6.6
2013,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,6.5
2023,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,7.3
2011,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,8.0
2022,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,7.3
2018,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,6.5
2012,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,6.5
2016,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,6.6
2010,SH_MED_DEN,ISCO08_2261,M,ES212,PER_10000_POP,7.9
2019,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,16.0
2022,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,16.8
2015,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,14.9
2020,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,16.2
2021,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,16.4
2017,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,15.6
2013,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,14.4
2010,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,13.6
2014,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,14.7
2018,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,15.9
2011,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,13.8
2023,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,16.7
2012,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,14.1
2016,SH_MED_DEN,ISCO08_2262,,,PER_10000_POP,15.4
2012,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,14.4
2022,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,17.3
2023,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,17.1
2018,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,16.0
2016,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,15.7
2013,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,14.7
2017,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,15.8
2020,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,16.5
2021,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,16.5
2010,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,13.8
2015,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,15.2
2014,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,15.0
2011,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,14.1
2019,SH_MED_DEN,ISCO08_2262,,ES211,PER_10000_POP,16.2
2021,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,16.4
2017,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,15.8
2013,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,14.5
2011,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,14.1
2012,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,14.2
2014,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,14.8
2020,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,16.1
2015,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,15.2
2016,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,15.6
2019,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,16.0
2010,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,14.0
2018,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,16.0
2022,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,16.6
2023,SH_MED_DEN,ISCO08_2262,,ES213,PER_10000_POP,16.5
2019,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,15.9
2011,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,13.3
2023,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,16.8
2015,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,14.5
2014,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,14.5
2010,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,12.9
2021,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,16.3
2013,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,14.0
2018,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,15.7
2012,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,13.7
2020,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,16.3
2016,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,14.9
2017,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,15.2
2022,SH_MED_DEN,ISCO08_2262,,ES212,PER_10000_POP,16.9
2018,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,24.7
2016,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,23.9
2020,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,25.3
2013,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,22.4
2015,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,23.3
2012,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,21.9
2014,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,22.9
2010,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,21.3
2019,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,24.9
2017,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,24.4
2011,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,21.7
2021,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,25.7
2023,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,26.1
2022,SH_MED_DEN,ISCO08_2262,F,,PER_10000_POP,26.3
2011,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,22.1
2015,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,23.2
2021,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,25.4
2010,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,21.2
2013,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,22.8
2023,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,27.0
2020,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,25.4
2012,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,22.5
2017,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,24.1
2014,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,23.4
2016,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,23.8
2022,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,27.4
2019,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,24.7
2018,SH_MED_DEN,ISCO08_2262,F,ES211,PER_10000_POP,24.3
2013,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,22.5
2019,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,24.8
2014,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,22.9
2016,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,24.2
2023,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,25.4
2020,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,24.9
2022,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,25.8
2018,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,24.8
2015,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,23.5
2017,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,24.4
2010,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,21.9
2011,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,22.1
2012,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,22.1
2021,SH_MED_DEN,ISCO08_2262,F,ES213,PER_10000_POP,25.4
2011,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,20.8
2012,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,21.4
2020,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,25.8
2014,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,22.7
2021,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,26.3
2018,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,24.9
2022,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,26.7
2013,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,21.9
2023,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,26.8
2017,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,24.5
2010,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,20.3
2016,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,23.5
2015,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,23.0
2019,SH_MED_DEN,ISCO08_2262,F,ES212,PER_10000_POP,25.2
2018,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.6
2016,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.3
2013,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.0
2017,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.3
2022,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.7
2020,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.7
2021,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.5
2019,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.5
2015,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.1
2014,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.1
2010,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,5.6
2011,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,5.6
2012,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,5.9
2023,SH_MED_DEN,ISCO08_2262,M,,PER_10000_POP,6.7
2022,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,6.8
2021,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,7.2
2013,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,6.5
2017,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,7.2
2019,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,7.4
2014,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,6.4
2018,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,7.4
2011,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,6.0
2010,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,6.3
2023,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,6.8
2016,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,7.4
2015,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,6.9
2020,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,7.4
2012,SH_MED_DEN,ISCO08_2262,M,ES211,PER_10000_POP,6.4
2017,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.5
2021,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.7
2013,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.0
2018,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.6
2012,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,5.8
2016,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.4
2020,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.6
2014,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.1
2010,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,5.5
2019,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.5
2023,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,7.0
2022,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.7
2011,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,5.5
2015,SH_MED_DEN,ISCO08_2262,M,ES213,PER_10000_POP,6.3
2017,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,5.6
2012,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,5.7
2010,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,5.3
2013,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,5.7
2019,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,6.1
2011,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,5.4
2015,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,5.6
2023,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,6.3
2014,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,5.9
2018,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,6.2
2022,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,6.6
2021,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,5.8
2020,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,6.4
2016,SH_MED_DEN,ISCO08_2262,M,ES212,PER_10000_POP,5.8
